[13:43:02]  [System] A corrupted file has been entered. Requesting new one... 
[15:58:51]  [TCP] File data received: 2002944
[15:58:51]  [TCP] File data received: 2004992
[15:58:51]  [TCP] File data received: 2007040
[15:58:51]  [TCP] File data received: 2009088
[15:58:51]  [TCP] File data received: 2011136
[15:58:51]  [TCP] File data received: 2013184
[15:58:51]  [TCP] File data received: 2015232
[15:58:51]  [TCP] File data received: 2017280
[15:58:51]  [TCP] File data received: 2019328
[15:58:51]  [TCP] File data received: 2021376
[15:58:51]  [TCP] File data received: 2023424
[15:58:51]  [TCP] File data received: 2025472
[15:58:51]  [TCP] File data received: 2027520
[15:58:51]  [TCP] File data received: 2029568
[15:58:51]  [TCP] File data received: 2031616
[15:58:51]  [TCP] File data received: 2033664
[15:58:51]  [TCP] File data received: 2035712
[15:58:51]  [TCP] File data received: 2037760
[15:58:51]  [TCP] File data received: 2039808
[15:58:51]  [TCP] File data received: 2041856
[15:58:51]  [TCP] File data received: 2043904
[15:58:51]  [TCP] File data received: 2045952
[15:58:51]  [TCP] File data received: 2048000
[15:58:51]  [TCP] File data received: 2050048
[15:58:51]  [TCP] File data received: 2052096
[15:58:51]  [TCP] File data received: 2054144
[15:58:51]  [TCP] File data received: 2056192
[15:58:51]  [TCP] File data received: 2058240
[15:58:51]  [TCP] File data received: 2060288
[15:58:51]  [TCP] File data received: 2062336
[15:58:51]  [TCP] File data received: 2064384
[15:58:51]  [TCP] File data received: 2066432
[15:58:51]  [TCP] File data received: 2068480
[15:58:51]  [TCP] File data received: 2070528
[15:58:51]  [TCP] File data received: 2072576
[15:58:51]  [TCP] File data received: 2074624
[15:58:51]  [TCP] File data received: 2076672
[15:58:51]  [TCP] File data received: 2078720
[15:58:51]  [TCP] File data received: 2080768
[15:58:51]  [TCP] File data received: 2082816
[15:58:51]  [TCP] File data received: 2084864
[15:58:51]  [TCP] File data received: 2086912
[15:58:51]  [TCP] File data received: 2088960
[15:58:51]  [TCP] File data received: 2091008
[15:58:51]  [TCP] File data received: 2093056
[15:58:51]  [TCP] File data received: 2095104
[15:58:51]  [TCP] File data received: 2097152
[15:58:51]  [TCP] File data received: 2099200
[15:58:51]  [TCP] File data received: 2101248
[15:58:51]  [TCP] File data received: 2103296
[15:58:51]  [TCP] File data received: 2105344
[15:58:51]  [TCP] File data received: 2107392
[15:58:51]  [TCP] File data received: 2109440
[15:58:51]  [TCP] File data received: 2111488
[15:58:51]  [TCP] File data received: 2113536
[15:58:51]  [TCP] File data received: 2115584
[15:58:51]  [TCP] File data received: 2117632
[15:58:51]  [TCP] File data received: 2119680
[15:58:51]  [TCP] File data received: 2121728
[15:58:51]  [TCP] File data received: 2123776
[15:58:51]  [TCP] File data received: 2125824
[15:58:51]  [TCP] File data received: 2127872
[15:58:51]  [TCP] File data received: 2129920
[15:58:51]  [TCP] File data received: 2131968
[15:58:51]  [TCP] File data received: 2134016
[15:58:51]  [TCP] File data received: 2136064
[15:58:51]  [TCP] File data received: 2138112
[15:58:51]  [TCP] File data received: 2140160
[15:58:51]  [TCP] File data received: 2142208
[15:58:51]  [TCP] File data received: 2144256
[15:58:51]  [TCP] File data received: 2146304
[15:58:51]  [TCP] File data received: 2148352
[15:58:51]  [TCP] File data received: 2150400
[15:58:51]  [TCP] File data received: 2152448
[15:58:51]  [TCP] File data received: 2154496
[15:58:51]  [TCP] File data received: 2156544
[15:58:51]  [TCP] File data received: 2158592
[15:58:51]  [TCP] File data received: 2160640
[15:58:51]  [TCP] File data received: 2162688
[15:58:51]  [TCP] File data received: 2164736
[15:58:51]  [TCP] File data received: 2166784
[15:58:51]  [TCP] File data received: 2168832
[15:58:51]  [TCP] File data received: 2170880
[15:58:51]  [TCP] File data received: 2172928
[15:58:51]  [TCP] File data received: 2174976
[15:58:51]  [TCP] File data received: 2177024
[15:58:51]  [TCP] File data received: 2179072
[15:58:51]  [TCP] File data received: 2181120
[15:58:51]  [TCP] File data received: 2183168
[15:58:51]  [TCP] File data received: 2185216
[15:58:51]  [TCP] File data received: 2187264
[15:58:51]  [TCP] File data received: 2189312
[15:58:51]  [TCP] File data received: 2191360
[15:58:51]  [TCP] File data received: 2193408
[15:58:51]  [TCP] File data received: 2195456
[15:58:51]  [TCP] File data received: 2197504
[15:58:51]  [TCP] File data received: 2199552
[15:58:51]  [TCP] File data received: 2201600
[15:58:51]  [TCP] File data received: 2203648
[15:58:51]  [TCP] File data received: 2205696
[15:58:51]  [TCP] File data received: 2207744
[15:58:51]  [TCP] File data received: 2209792
[15:58:51]  [TCP] File data received: 2211840
[15:58:51]  [TCP] File data received: 2213888
[15:58:51]  [TCP] File data received: 2215936
[15:58:51]  [TCP] File data received: 2217984
[15:58:51]  [TCP] File data received: 2220032
[15:58:51]  [TCP] File data received: 2222080
[15:58:51]  [TCP] File data received: 2224128
[15:58:51]  [TCP] File data received: 2226176
[15:58:51]  [TCP] File data received: 2228224
[15:58:51]  [TCP] File data received: 2230272
[15:58:51]  [TCP] File data received: 2232320
[15:58:51]  [TCP] File data received: 2234368
[15:58:51]  [TCP] File data received: 2236416
[15:58:51]  [TCP] File data received: 2238464
[15:58:51]  [TCP] File data received: 2240512
[15:58:51]  [TCP] File data received: 2242560
[15:58:51]  [TCP] File data received: 2244608
[15:58:51]  [TCP] File data received: 2246656
[15:58:51]  [TCP] File data received: 2248704
[15:58:51]  [TCP] File data received: 2250752
[15:58:51]  [TCP] File data received: 2252800
[15:58:51]  [TCP] File data received: 2254848
[15:58:51]  [TCP] File data received: 2256896
[15:58:51]  [TCP] File data received: 2258944
[15:58:51]  [TCP] File data received: 2260992
[15:58:51]  [TCP] File data received: 2263040
[15:58:51]  [TCP] File data received: 2265088
[15:58:51]  [TCP] File data received: 2267136
[15:58:51]  [TCP] File data received: 2269184
[15:58:51]  [TCP] File data received: 2271232
[15:58:51]  [TCP] File data received: 2273280
[15:58:51]  [TCP] File data received: 2275328
[15:58:51]  [TCP] File data received: 2277376
[15:58:51]  [TCP] File data received: 2279424
[15:58:51]  [TCP] File data received: 2281472
[15:58:51]  [TCP] File data received: 2283520
[15:58:51]  [TCP] File data received: 2285568
[15:58:51]  [TCP] File data received: 2287616
[15:58:51]  [TCP] File data received: 2289664
[15:58:51]  [TCP] File data received: 2291712
[15:58:51]  [TCP] File data received: 2293760
[15:58:51]  [TCP] File data received: 2295808
[15:58:51]  [TCP] File data received: 2297856
[15:58:51]  [TCP] File data received: 2299904
[15:58:51]  [TCP] File data received: 2301952
[15:58:51]  [TCP] File data received: 2304000
[15:58:51]  [TCP] File data received: 2306048
[15:58:51]  [TCP] File data received: 2308096
[15:58:51]  [TCP] File data received: 2310144
[15:58:51]  [TCP] File data received: 2312192
[15:58:51]  [TCP] File data received: 2314240
[15:58:51]  [TCP] File data received: 2316288
[15:58:51]  [TCP] File data received: 2318336
[15:58:51]  [TCP] File data received: 2320384
[15:58:51]  [TCP] File data received: 2322432
[15:58:51]  [TCP] File data received: 2324480
[15:58:51]  [TCP] File data received: 2326528
[15:58:51]  [TCP] File data received: 2328576
[15:58:51]  [TCP] File data received: 2330624
[15:58:51]  [TCP] File data received: 2332672
[15:58:51]  [TCP] File data received: 2334720
[15:58:51]  [TCP] File data received: 2336768
[15:58:51]  [TCP] File data received: 2338816
[15:58:51]  [TCP] File data received: 2340864
[15:58:51]  [TCP] File data received: 2342912
[15:58:51]  [TCP] File data received: 2344960
[15:58:51]  [TCP] File data received: 2347008
[15:58:51]  [TCP] File data received: 2349056
[15:58:51]  [TCP] File data received: 2351104
[15:58:51]  [TCP] File data received: 2353152
[15:58:51]  [TCP] File data received: 2355200
[15:58:51]  [TCP] File data received: 2357248
[15:58:51]  [TCP] File data received: 2359296
[15:58:51]  [TCP] File data received: 2361344
[15:58:51]  [TCP] File data received: 2363392
[15:58:51]  [TCP] File data received: 2365440
[15:58:51]  [TCP] File data received: 2367488
[15:58:51]  [TCP] File data received: 2369536
[15:58:51]  [TCP] File data received: 2371584
[15:58:51]  [TCP] File data received: 2373632
[15:58:51]  [TCP] File data received: 2375680
[15:58:51]  [TCP] File data received: 2377728
[15:58:51]  [TCP] File data received: 2379776
[15:58:51]  [TCP] File data received: 2381824
[15:58:51]  [TCP] File data received: 2383872
[15:58:51]  [TCP] File data received: 2385920
[15:58:51]  [TCP] File data received: 2387968
[15:58:51]  [TCP] File data received: 2390016
[15:58:51]  [TCP] File data received: 2392064
[15:58:51]  [TCP] File data received: 2394112
[15:58:51]  [TCP] File data received: 2396160
[15:58:51]  [TCP] File data received: 2398208
[15:58:51]  [TCP] File data received: 2400256
[15:58:51]  [TCP] File data received: 2402304
[15:58:51]  [TCP] File data received: 2404352
[15:58:51]  [TCP] File data received: 2406400
[15:58:51]  [TCP] File data received: 2408448
[15:58:51]  [TCP] File data received: 2410496
[15:58:51]  [TCP] File data received: 2412544
[15:58:51]  [TCP] File data received: 2414592
[15:58:51]  [TCP] File data received: 2416640
[15:58:51]  [TCP] File data received: 2418688
[15:58:51]  [TCP] File data received: 2420736
[15:58:51]  [TCP] File data received: 2422784
[15:58:51]  [TCP] File data received: 2424832
[15:58:51]  [TCP] File data received: 2426880
[15:58:51]  [TCP] File data received: 2428928
[15:58:51]  [TCP] File data received: 2430976
[15:58:51]  [TCP] File data received: 2433024
[15:58:51]  [TCP] File data received: 2435072
[15:58:51]  [TCP] File data received: 2437120
[15:58:51]  [TCP] File data received: 2439168
[15:58:51]  [TCP] File data received: 2441216
[15:58:51]  [TCP] File data received: 2443264
[15:58:51]  [TCP] File data received: 2445312
[15:58:51]  [TCP] File data received: 2447360
[15:58:51]  [TCP] File data received: 2449408
[15:58:51]  [TCP] File data received: 2451456
[15:58:51]  [TCP] File data received: 2453504
[15:58:51]  [TCP] File data received: 2455552
[15:58:51]  [TCP] File data received: 2457600
[15:58:51]  [TCP] File data received: 2459648
[15:58:51]  [TCP] File data received: 2461696
[15:58:51]  [TCP] File data received: 2463744
[15:58:51]  [TCP] File data received: 2465792
[15:58:51]  [TCP] File data received: 2467840
[15:58:51]  [TCP] File data received: 2469888
[15:58:51]  [TCP] File data received: 2471936
[15:58:51]  [TCP] File data received: 2473984
[15:58:51]  [TCP] File data received: 2476032
[15:58:51]  [TCP] File data received: 2478080
[15:58:51]  [TCP] File data received: 2480128
[15:58:51]  [TCP] File data received: 2482176
[15:58:51]  [TCP] File data received: 2484224
[15:58:51]  [TCP] File data received: 2486272
[15:58:51]  [TCP] File data received: 2488320
[15:58:51]  [TCP] File data received: 2490368
[15:58:51]  [TCP] File data received: 2492416
[15:58:51]  [TCP] File data received: 2494464
[15:58:51]  [TCP] File data received: 2496512
[15:58:51]  [TCP] File data received: 2498560
[15:58:51]  [TCP] File data received: 2500608
[15:58:51]  [TCP] File data received: 2502656
[15:58:51]  [TCP] File data received: 2504704
[15:58:51]  [TCP] File data received: 2506752
[15:58:52]  [TCP] File data received: 2508800
[15:58:52]  [TCP] File data received: 2510848
[15:58:52]  [TCP] File data received: 2512896
[15:58:52]  [TCP] File data received: 2514944
[15:58:52]  [TCP] File data received: 2516992
[15:58:52]  [TCP] File data received: 2519040
[15:58:52]  [TCP] File data received: 2521088
[15:58:52]  [TCP] File data received: 2523136
[15:58:52]  [TCP] File data received: 2525184
[15:58:52]  [TCP] File data received: 2527232
[15:58:52]  [TCP] File data received: 2529280
[15:58:52]  [TCP] File data received: 2531328
[15:58:52]  [TCP] File data received: 2533376
[15:58:52]  [TCP] File data received: 2535424
[15:58:52]  [TCP] File data received: 2537472
[15:58:52]  [TCP] File data received: 2539520
[15:58:52]  [TCP] File data received: 2541568
[15:58:52]  [TCP] File data received: 2543616
[15:58:52]  [TCP] File data received: 2545664
[15:58:52]  [TCP] File data received: 2547712
[15:58:52]  [TCP] File data received: 2549760
[15:58:52]  [TCP] File data received: 2551808
[15:58:52]  [TCP] File data received: 2553856
[15:58:52]  [TCP] File data received: 2555904
[15:58:52]  [TCP] File data received: 2557952
[15:58:52]  [TCP] File data received: 2560000
[15:58:52]  [TCP] File data received: 2562048
[15:58:52]  [TCP] File data received: 2564096
[15:58:52]  [TCP] File data received: 2566144
[15:58:52]  [TCP] File data received: 2568192
[15:58:52]  [TCP] File data received: 2570240
[15:58:52]  [TCP] File data received: 2572288
[15:58:52]  [TCP] File data received: 2574336
[15:58:52]  [TCP] File data received: 2576384
[15:58:52]  [TCP] File data received: 2578432
[15:58:52]  [TCP] File data received: 2580480
[15:58:52]  [TCP] File data received: 2582528
[15:58:52]  [TCP] File data received: 2584576
[15:58:52]  [TCP] File data received: 2586624
[15:58:52]  [TCP] File data received: 2588672
[15:58:52]  [TCP] File data received: 2590720
[15:58:52]  [TCP] File data received: 2592768
[15:58:52]  [TCP] File data received: 2594816
[15:58:52]  [TCP] File data received: 2596864
[15:58:52]  [TCP] File data received: 2598912
[15:58:52]  [TCP] File data received: 2600960
[15:58:52]  [TCP] File data received: 2603008
[15:58:52]  [TCP] File data received: 2605056
[15:58:52]  [TCP] File data received: 2607104
[15:58:52]  [TCP] File data received: 2609152
[15:58:52]  [TCP] File data received: 2611200
[15:58:52]  [TCP] File data received: 2613248
[15:58:52]  [TCP] File data received: 2615296
[15:58:52]  [TCP] File data received: 2617344
[15:58:52]  [TCP] File data received: 2619392
[15:58:52]  [TCP] File data received: 2621440
[15:58:52]  [TCP] File data received: 2623488
[15:58:52]  [TCP] File data received: 2625536
[15:58:52]  [TCP] File data received: 2627584
[15:58:52]  [TCP] File data received: 2629632
[15:58:52]  [TCP] File data received: 2631680
[15:58:52]  [TCP] File data received: 2633728
[15:58:52]  [TCP] File data received: 2635776
[15:58:52]  [TCP] File data received: 2637824
[15:58:52]  [TCP] File data received: 2639872
[15:58:52]  [TCP] File data received: 2641920
[15:58:52]  [TCP] File data received: 2643968
[15:58:52]  [TCP] File data received: 2646016
[15:58:52]  [TCP] File data received: 2648064
[15:58:52]  [TCP] File data received: 2650112
[15:58:52]  [TCP] File data received: 2652160
[15:58:52]  [TCP] File data received: 2654208
[15:58:52]  [TCP] File data received: 2656256
[15:58:52]  [TCP] File data received: 2658304
[15:58:52]  [TCP] File data received: 2660352
[15:58:52]  [TCP] File data received: 2662400
[15:58:52]  [TCP] File data received: 2664448
[15:58:52]  [TCP] File data received: 2666496
[15:58:52]  [TCP] File data received: 2668544
[15:58:52]  [TCP] File data received: 2670592
[15:58:52]  [TCP] File data received: 2672640
[15:58:52]  [TCP] File data received: 2674688
[15:58:52]  [TCP] File data received: 2676736
[15:58:52]  [TCP] File data received: 2678784
[15:58:52]  [TCP] File data received: 2680832
[15:58:52]  [TCP] File data received: 2682880
[15:58:52]  [TCP] File data received: 2684928
[15:58:52]  [TCP] File data received: 2686976
[15:58:52]  [TCP] File data received: 2689024
[15:58:52]  [TCP] File data received: 2691072
[15:58:52]  [TCP] File data received: 2693120
[15:58:52]  [TCP] File data received: 2695168
[15:58:52]  [TCP] File data received: 2697216
[15:58:52]  [TCP] File data received: 2699264
[15:58:52]  [TCP] File data received: 2701312
[15:58:52]  [TCP] File data received: 2703360
[15:58:52]  [TCP] File data received: 2705408
[15:58:52]  [TCP] File data received: 2707456
[15:58:52]  [TCP] File data received: 2709504
[15:58:52]  [TCP] File data received: 2711552
[15:58:52]  [TCP] File data received: 2713600
[15:58:52]  [TCP] File data received: 2715648
[15:58:52]  [TCP] File data received: 2717696
[15:58:52]  [TCP] File data received: 2719744
[15:58:52]  [TCP] File data received: 2721792
[15:58:52]  [TCP] File data received: 2723840
[15:58:52]  [TCP] File data received: 2725888
[15:58:52]  [TCP] File data received: 2727936
[15:58:52]  [TCP] File data received: 2729984
[15:58:52]  [TCP] File data received: 2732032
[15:58:52]  [TCP] File data received: 2734080
[15:58:52]  [TCP] File data received: 2736128
[15:58:52]  [TCP] File data received: 2738176
[15:58:52]  [TCP] File data received: 2740224
[15:58:52]  [TCP] File data received: 2742272
[15:58:52]  [TCP] File data received: 2744320
[15:58:52]  [TCP] File data received: 2746368
[15:58:52]  [TCP] File data received: 2748416
[15:58:52]  [TCP] File data received: 2750464
[15:58:52]  [TCP] File data received: 2752512
[15:58:52]  [TCP] File data received: 2754560
[15:58:52]  [TCP] File data received: 2756608
[15:58:52]  [TCP] File data received: 2758656
[15:58:52]  [TCP] File data received: 2760704
[15:58:52]  [TCP] File data received: 2762752
[15:58:52]  [TCP] File data received: 2764800
[15:58:52]  [TCP] File data received: 2766848
[15:58:52]  [TCP] File data received: 2768896
[15:58:52]  [TCP] File data received: 2770944
[15:58:52]  [TCP] File data received: 2772992
[15:58:52]  [TCP] File data received: 2775040
[15:58:52]  [TCP] File data received: 2777088
[15:58:52]  [TCP] File data received: 2779136
[15:58:52]  [TCP] File data received: 2781184
[15:58:52]  [TCP] File data received: 2783232
[15:58:52]  [TCP] File data received: 2785280
[15:58:52]  [TCP] File data received: 2787328
[15:58:52]  [TCP] File data received: 2789376
[15:58:52]  [TCP] File data received: 2791424
[15:58:52]  [TCP] File data received: 2793472
[15:58:52]  [TCP] File data received: 2795520
[15:58:52]  [TCP] File data received: 2797568
[15:58:52]  [TCP] File data received: 2799616
[15:58:52]  [TCP] File data received: 2801664
[15:58:52]  [TCP] File data received: 2803712
[15:58:52]  [TCP] File data received: 2805760
[15:58:52]  [TCP] File data received: 2807808
[15:58:52]  [TCP] File data received: 2809856
[15:58:52]  [TCP] File data received: 2811904
[15:58:52]  [TCP] File data received: 2813952
[15:58:52]  [TCP] File data received: 2816000
[15:58:52]  [TCP] File data received: 2818048
[15:58:52]  [TCP] File data received: 2820096
[15:58:52]  [TCP] File data received: 2822144
[15:58:52]  [TCP] File data received: 2824192
[15:58:52]  [TCP] File data received: 2826240
[15:58:52]  [TCP] File data received: 2828288
[15:58:52]  [TCP] File data received: 2830336
[15:58:52]  [TCP] File data received: 2832384
[15:58:52]  [TCP] File data received: 2834432
[15:58:52]  [TCP] File data received: 2836480
[15:58:52]  [TCP] File data received: 2838528
[15:58:52]  [TCP] File data received: 2840576
[15:58:52]  [TCP] File data received: 2842624
[15:58:52]  [TCP] File data received: 2844672
[15:58:52]  [TCP] File data received: 2846720
[15:58:52]  [TCP] File data received: 2848768
[15:58:52]  [TCP] File data received: 2850816
[15:58:52]  [TCP] File data received: 2852864
[15:58:52]  [TCP] File data received: 2854912
[15:58:52]  [TCP] File data received: 2856960
[15:58:52]  [TCP] File data received: 2859008
[15:58:52]  [TCP] File data received: 2861056
[15:58:52]  [TCP] File data received: 2863104
[15:58:52]  [TCP] File data received: 2865152
[15:58:52]  [TCP] File data received: 2867200
[15:58:52]  [TCP] File data received: 2869248
[15:58:52]  [TCP] File data received: 2871296
[15:58:52]  [TCP] File data received: 2873344
[15:58:52]  [TCP] File data received: 2875392
[15:58:52]  [TCP] File data received: 2877440
[15:58:52]  [TCP] File data received: 2879488
[15:58:52]  [TCP] File data received: 2881536
[15:58:52]  [TCP] File data received: 2883584
[15:58:52]  [TCP] File data received: 2885632
[15:58:52]  [TCP] File data received: 2887680
[15:58:52]  [TCP] File data received: 2889728
[15:58:52]  [TCP] File data received: 2891776
[15:58:52]  [TCP] File data received: 2893824
[15:58:52]  [TCP] File data received: 2895872
[15:58:52]  [TCP] File data received: 2897920
[15:58:52]  [TCP] File data received: 2899968
[15:58:52]  [TCP] File data received: 2902016
[15:58:52]  [TCP] File data received: 2904064
[15:58:52]  [TCP] File data received: 2906112
[15:58:52]  [TCP] File data received: 2908160
[15:58:52]  [TCP] File data received: 2910208
[15:58:52]  [TCP] File data received: 2912256
[15:58:52]  [TCP] File data received: 2914304
[15:58:52]  [TCP] File data received: 2916352
[15:58:52]  [TCP] File data received: 2918400
[15:58:52]  [TCP] File data received: 2920448
[15:58:52]  [TCP] File data received: 2922496
[15:58:52]  [TCP] File data received: 2924544
[15:58:52]  [TCP] File data received: 2926592
[15:58:52]  [TCP] File data received: 2928640
[15:58:52]  [TCP] File data received: 2930688
[15:58:52]  [TCP] File data received: 2932736
[15:58:52]  [TCP] File data received: 2934784
[15:58:52]  [TCP] File data received: 2936832
[15:58:52]  [TCP] File data received: 2938880
[15:58:52]  [TCP] File data received: 2940928
[15:58:52]  [TCP] File data received: 2942976
[15:58:52]  [TCP] File data received: 2945024
[15:58:52]  [TCP] File data received: 2947072
[15:58:52]  [TCP] File data received: 2949120
[15:58:52]  [TCP] File data received: 2951168
[15:58:52]  [TCP] File data received: 2953216
[15:58:52]  [TCP] File data received: 2955264
[15:58:52]  [TCP] File data received: 2957312
[15:58:52]  [TCP] File data received: 2959360
[15:58:52]  [TCP] File data received: 2961408
[15:58:52]  [TCP] File data received: 2963456
[15:58:52]  [TCP] File data received: 2965504
[15:58:52]  [TCP] File data received: 2967552
[15:58:52]  [TCP] File data received: 2969600
[15:58:52]  [TCP] File data received: 2971648
[15:58:52]  [TCP] File data received: 2973696
[15:58:52]  [TCP] File data received: 2975744
[15:58:52]  [TCP] File data received: 2977792
[15:58:52]  [TCP] File data received: 2979840
[15:58:52]  [TCP] File data received: 2981888
[15:58:52]  [TCP] File data received: 2983936
[15:58:52]  [TCP] File data received: 2985984
[15:58:52]  [TCP] File data received: 2988032
[15:58:52]  [TCP] File data received: 2990080
[15:58:52]  [TCP] File data received: 2992128
[15:58:52]  [TCP] File data received: 2994176
[15:58:52]  [TCP] File data received: 2996224
[15:58:52]  [TCP] File data received: 2998272
[15:58:52]  [TCP] File data received: 3000320
[15:58:52]  [TCP] File data received: 3002368
[15:58:52]  [TCP] File data received: 3004416
[15:58:52]  [TCP] File data received: 3006464
[15:58:52]  [TCP] File data received: 3008512
[15:58:52]  [TCP] File data received: 3010560
[15:58:52]  [TCP] File data received: 3012608
[15:58:52]  [TCP] File data received: 3014656
[15:58:52]  [TCP] File data received: 3016704
[15:58:52]  [TCP] File data received: 3018752
[15:58:52]  [TCP] File data received: 3020800
[15:58:52]  [TCP] File data received: 3022848
[15:58:52]  [TCP] File data received: 3024896
[15:58:52]  [TCP] File data received: 3026944
[15:58:52]  [TCP] File data received: 3028992
[15:58:52]  [TCP] File data received: 3031040
[15:58:52]  [TCP] File data received: 3033088
[15:58:52]  [TCP] File data received: 3035136
[15:58:52]  [TCP] File data received: 3037184
[15:58:52]  [TCP] File data received: 3039232
[15:58:52]  [TCP] File data received: 3041280
[15:58:52]  [TCP] File data received: 3043328
[15:58:52]  [TCP] File data received: 3045376
[15:58:52]  [TCP] File data received: 3047424
[15:58:52]  [TCP] File data received: 3049472
[15:58:52]  [TCP] File data received: 3051520
[15:58:52]  [TCP] File data received: 3053568
[15:58:52]  [TCP] File data received: 3055616
[15:58:52]  [TCP] File data received: 3057664
[15:58:52]  [TCP] File data received: 3059712
[15:58:52]  [TCP] File data received: 3061760
[15:58:52]  [TCP] File data received: 3063808
[15:58:52]  [TCP] File data received: 3065856
[15:58:52]  [TCP] File data received: 3067904
[15:58:52]  [TCP] File data received: 3069952
[15:58:52]  [TCP] File data received: 3072000
[15:58:52]  [TCP] File data received: 3074048
[15:58:52]  [TCP] File data received: 3076096
[15:58:52]  [TCP] File data received: 3078144
[15:58:52]  [TCP] File data received: 3080192
[15:58:52]  [TCP] File data received: 3082240
[15:58:52]  [TCP] File data received: 3084288
[15:58:52]  [TCP] File data received: 3086336
[15:58:52]  [TCP] File data received: 3088384
[15:58:52]  [TCP] File data received: 3090432
[15:58:52]  [TCP] File data received: 3092480
[15:58:52]  [TCP] File data received: 3094528
[15:58:52]  [TCP] File data received: 3096576
[15:58:52]  [TCP] File data received: 3098624
[15:58:52]  [TCP] File data received: 3100672
[15:58:52]  [TCP] File data received: 3102720
[15:58:52]  [TCP] File data received: 3104768
[15:58:52]  [TCP] File data received: 3106816
[15:58:52]  [TCP] File data received: 3108864
[15:58:52]  [TCP] File data received: 3110912
[15:58:52]  [TCP] File data received: 3112960
[15:58:52]  [TCP] File data received: 3115008
[15:58:52]  [TCP] File data received: 3117056
[15:58:52]  [TCP] File data received: 3119104
[15:58:52]  [TCP] File data received: 3121152
[15:58:52]  [TCP] File data received: 3123200
[15:58:52]  [TCP] File data received: 3125248
[15:58:52]  [TCP] File data received: 3127296
[15:58:52]  [TCP] File data received: 3129344
[15:58:52]  [TCP] File data received: 3131392
[15:58:52]  [TCP] File data received: 3133440
[15:58:52]  [TCP] File data received: 3135488
[15:58:52]  [TCP] File data received: 3137536
[15:58:52]  [TCP] File data received: 3139584
[15:58:52]  [TCP] File data received: 3141632
[15:58:52]  [TCP] File data received: 3143680
[15:58:52]  [TCP] File data received: 3145728
[15:58:52]  [TCP] File data received: 3147776
[15:58:52]  [TCP] File data received: 3149824
[15:58:52]  [TCP] File data received: 3151872
[15:58:52]  [TCP] File data received: 3153920
[15:58:52]  [TCP] File data received: 3155968
[15:58:52]  [TCP] File data received: 3158016
[15:58:52]  [TCP] File data received: 3160064
[15:58:52]  [TCP] File data received: 3162112
[15:58:52]  [TCP] File data received: 3164160
[15:58:52]  [TCP] File data received: 3166208
[15:58:52]  [TCP] File data received: 3168256
[15:58:52]  [TCP] File data received: 3170304
[15:58:52]  [TCP] File data received: 3172352
[15:58:52]  [TCP] File data received: 3174400
[15:58:52]  [TCP] File data received: 3176448
[15:58:52]  [TCP] File data received: 3178496
[15:58:52]  [TCP] File data received: 3180544
[15:58:52]  [TCP] File data received: 3182592
[15:58:52]  [TCP] File data received: 3184640
[15:58:52]  [TCP] File data received: 3186688
[15:58:52]  [TCP] File data received: 3188736
[15:58:52]  [TCP] File data received: 3190784
[15:58:52]  [TCP] File data received: 3192832
[15:58:52]  [TCP] File data received: 3194880
[15:58:52]  [TCP] File data received: 3196928
[15:58:52]  [TCP] File data received: 3198976
[15:58:52]  [TCP] File data received: 3201024
[15:58:52]  [TCP] File data received: 3203072
[15:58:52]  [TCP] File data received: 3205120
[15:58:52]  [TCP] File data received: 3207168
[15:58:52]  [TCP] File data received: 3209216
[15:58:52]  [TCP] File data received: 3211264
[15:58:52]  [TCP] File data received: 3213312
[15:58:52]  [TCP] File data received: 3215360
[15:58:52]  [TCP] File data received: 3217408
[15:58:52]  [TCP] File data received: 3219456
[15:58:52]  [TCP] File data received: 3221504
[15:58:52]  [TCP] File data received: 3223552
[15:58:52]  [TCP] File data received: 3225600
[15:58:52]  [TCP] File data received: 3227648
[15:58:52]  [TCP] File data received: 3229696
[15:58:52]  [TCP] File data received: 3231744
[15:58:52]  [TCP] File data received: 3233792
[15:58:52]  [TCP] File data received: 3235840
[15:58:52]  [TCP] File data received: 3237888
[15:58:52]  [TCP] File data received: 3239936
[15:58:52]  [TCP] File data received: 3241984
[15:58:52]  [TCP] File data received: 3244032
[15:58:52]  [TCP] File data received: 3246080
[15:58:52]  [TCP] File data received: 3248128
[15:58:52]  [TCP] File data received: 3250176
[15:58:52]  [TCP] File data received: 3252224
[15:58:52]  [TCP] File data received: 3254272
[15:58:52]  [TCP] File data received: 3256320
[15:58:52]  [TCP] File data received: 3258368
[15:58:52]  [TCP] File data received: 3260416
[15:58:52]  [TCP] File data received: 3262464
[15:58:52]  [TCP] File data received: 3264512
[15:58:52]  [TCP] File data received: 3266560
[15:58:52]  [TCP] File data received: 3268608
[15:58:52]  [TCP] File data received: 3270656
[15:58:52]  [TCP] File data received: 3272704
[15:58:52]  [TCP] File data received: 3274752
[15:58:52]  [TCP] File data received: 3276800
[15:58:52]  [TCP] File data received: 3278848
[15:58:52]  [TCP] File data received: 3280896
[15:58:52]  [TCP] File data received: 3282944
[15:58:52]  [TCP] File data received: 3284992
[15:58:52]  [TCP] File data received: 3287040
[15:58:52]  [TCP] File data received: 3289088
[15:58:52]  [TCP] File data received: 3291136
[15:58:52]  [TCP] File data received: 3293184
[15:58:52]  [TCP] File data received: 3295232
[15:58:52]  [TCP] File data received: 3297280
[15:58:52]  [TCP] File data received: 3299328
